Referencia,Descripcion,colortexto,Codigo de barras,Talla,SumOfEntran,SumaDeCantidad devuelta,ReturnQtyUnder,SumaQtyTransferByPhone,SumQtyPosTransfer,Suma Vendida,Suma Vendida1,Suma Cotizados,Suma Cotizados2,SumaDeCantidad transferida,SumaDeDañado,ReturnQtyToSuppliers,Inventario,FechaVenta
,"   ",,"0175440",,,,,,,,,,,,,,0.0000000000000000e+00,
"P40568","  ",,"0328308",,,,,,,,,,,,,,0.0000000000000000e+00,
"001","   ",,"0633818","06",,,,,,,,,,,,,0.0000000000000000e+00,
"C02309","CAMISA RAGGED MASC MANGA CORTA","CEMENTO","10011011001300M322","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"C02304","CAMISA RAGGED MASC MANGA CORTA","CUADROS AZUL","10011011002510L4556","0L",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"C02319","CAMISA RAGGED MASC MANGA CORTA","CUADROS AZUL","10011011002510M4557","0M",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"C02307","CAMISA RAGGED MASC MANGA LARGA","CUADROS TURQUI","10011011022180S4459","0S",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"H02340","CAMISETA RAGGED MASC MANGA CORTA","TURQUI","10011021001000L5837","0L",,,,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,0.0000000000000000e+00,
"H02356","CAMISETA RAGGED MASC MANGA CORTA","TURQUI","10011021001000M2309","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H02340","CAMISETA RAGGED MASC MANGA CORTA","TURQUI","10011021001000M5836","0M",,,,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,0.0000000000000000e+00,
"H02356","CAMISETA RAGGED MASC MANGA CORTA","NEGRO","10011021001010L2308","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"H02340","CAMISETA RAGGED MASC MANGA CORTA","CAFÉ","10011021001060L5834","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"H02340","CAMISETA RAGGED MASC MANGA CORTA","CAFÉ","10011021001060M5835","0M",,,,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,0.0000000000000000e+00,
"H02344","CAMISETA RAGGED MASC MANGA CORTA","VERDE","10011021001090L2306","0L",,,,1.0000000000000000e+00,,,1.0000000000000000e+00,,,,,,0.0000000000000000e+00,
"H02340","CAMISETA RAGGED MASC MANGA CORTA","ROJO","10011021001120L5832","0L",,,,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,0.0000000000000000e+00,
"H02340","CAMISETA RAGGED MASC MANGA CORTA","ROJO","10011021001120M5833","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H02347","CAMISETA RAGGED MASC MANGA CORTA","AZUL","10011021001140M2414","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H02347","CAMISETA RAGGED MASC MANGA CORTA","GRIS","10011021001160L2415","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"H02344","CAMISETA RAGGED MASC MANGA CORTA","NARANJA","10011021001170M2307","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H02348","CAMISETA RAGGED MASC MANGA CORTA","ESTAMP VERDE","10011021001400M2407","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H02353","CAMISETA RAGGED MASC MANGA CORTA","MIL RAYAS","10011021001440L2310","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"H02348","CAMISETA RAGGED MASC MANGA CORTA","ESTAMP NEGRO","10011021001760L2408","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"C02308","CAMISUETER RAGGED MASC MANGA LARGA","CUADROS","10011041021290L324","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"C02308","CAMISUETER RAGGED MASC MANGA LARGA","CUADROS","10011041021290M323","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"P02054","PANTALON RAGGED MASC CLASICO","KAKI","1001111126103345754","34",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"P02054","PANTALON RAGGED MASC CLASICO","VERDE","1001111126109305756","30",,,,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,0.0000000000000000e+00,
"P02054","PANTALON RAGGED MASC CLASICO","ARENA","1001111126143305755","30",,,,2.0000000000000000e+00,,,,,1.0000000000000000e+00,1.0000000000000000e+00,,,0.0000000000000000e+00,
"P02054","PANTALON RAGGED MASC CLASICO","ARENA","1001111126143341194","34",,,,,,,,,,,,,0.0000000000000000e+00,
"P02235","JEAN RAGGED MASC TALLE NOR BO RECTA","AZUL","1001112124114328858","32",,,,,,,,,,,,,0.0000000000000000e+00,
"P02235","JEAN RAGGED MASC TALLE NOR BO RECTA","AZUL","1001112124114368859","36",,,,,,,,,,,,,0.0000000000000000e+00,
"P02235","JEAN RAGGED MASC TALLE NOR BO RECTA","GRIS","1001112124116288856","28",,,,,,,,,,,,,0.0000000000000000e+00,
"P02235","JEAN RAGGED MASC TALLE NOR BO RECTA","GRIS","1001112124116348857","34",,,,,,,,,,,,,0.0000000000000000e+00,
"H01779","BLUSA RAGGED FEM MANGA CORTA","TURQUI","10021001001000M19","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H01789","BLUSA RAGGED FEM MANGA CORTA","BLANCO","10021001001020M8","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H01789","BLUSA RAGGED FEM MANGA CORTA","KAKI","10021001001030M11","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H01789","BLUSA RAGGED FEM MANGA CORTA","VINOTINTO","10021001001040S12","0S",,,,,,,,,,,,,0.0000000000000000e+00,
"H01773","BLUSA RAGGED FEM MANGA CORTA","RAYAS","10021001001070M21","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H01368","BLUSA RAGGED FEM MANGA CORTA","AZUL","10021001001140S14244","0S",,,,,,,,,,,,,0.0000000000000000e+00,
"H01337","BLUSA RAGGED FEM MANGA CORTA","SURTIDO","10021001001270U15335","0U",,,,,,,,,,,,,0.0000000000000000e+00,
"H01179","BLUSA RAGGED FEM MANGA CORTA","RAYAS AZUL","10021001001830L10178","0L",,,,,,,,,,,,,0.0000000000000000e+00,
"H01179","BLUSA RAGGED FEM MANGA CORTA","RAYAS AZUL","10021001001830M10177","0M",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"H01179","BLUSA RAGGED FEM MANGA CORTA","RAYAS AZUL","10021001001830S10176","0S",,,,2.0000000000000000e+00,,,,,2.0000000000000000e+00,,,,0.0000000000000000e+00,
"H01106","BLUSA RAGGED FEM MANGA CORTA","GRIS OSCURO","10021001002050M9500","0M",,,,,,,,,,,,,0.0000000000000000e+00,
"H01119","BLUSA RAGGED FEM MANGA CORTA","GRIS OSCURO","10021001002050M9513","0M",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"H01106","BLUSA RAGGED FEM MANGA CORTA","GRIS OSCURO","10021001002050S9499","0S",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"H01119","BLUSA RAGGED FEM MANGA CORTA","GRIS OSCURO","10021001002050S9512","0S",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"H01765","BLUSA RAGGED FEM MANGA CORTA","VERDE PASTEL","10021001002170M4056","0M",,,,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,0.0000000000000000e+00,
"H01179","BLUSA RAGGED FEM MANGA CORTA","RAYAS VERDE","10021001002380M10174","0M",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,
"H01179","BLUSA RAGGED FEM MANGA CORTA","RAYAS VERDE","10021001002380S10173","0S",,,,,,,,,,,,,0.0000000000000000e+00,
"H01209","BLUSA RAGGED FEM MANGA CORTA","RAYAS ROSADA","10021001002540L10573","0L",,,,1.0000000000000000e+00,,,,,1.0000000000000000e+00,,,,0.0000000000000000e+00,