Silueta,id silueta
"TOP TIRAS",596
"ILLUSIONATOR",267
"GAZELLE",268
"LOW ZENERATION",269
"NORMAL BO ANGOST",118
"PLATAFORMA",134
"DELGADA",135
"GRUESA",136
"TENNIS",137
"PLAYERO",138
"CAÃ‘A LARGA",139
"LARGO STRAPLE",668
"LARGO 1HOMBRO",140
"CORTO TIRAS",141
"CORTO MA CISA",142
"MANGA CORTA NOR",143
"MANGA CORTA COR",144
"MANGA LARGA NOR",145
"MANGA LARGA COR",146
"MANGA CISA NOR",147
"TIRAS COR",148
"TIRAS NOR",149
"PARCHES NEGRO",150
"UN HOMBRO NOR",151
"ESTRAPLE NOR",152
"BUSTIER",153
"CLASICO BO RECTA",154
"CORTO 1 HOMBRO",155
"CORTO ESTRAPLE",156
"2P CHAQ VESTIDO",157
"TALLE ME BO CAMPANA",277
"2P BLU PESCADOR",158
"MANGA CISA CORTA",159
"BELLS",257
"STRIP",258
"STRIPP",259
"FOLK",260
"LOW BLACK",261
"WESTERN",262
"ESTRAPLE CORTA",160
"TIRAS LARGO",161
"HILO DENTAL",162
"2P VEST VEST",163
"2P CAMISA FALDA",164
"2P CAMISA PANT",165
"3P CHAQ TOP PANT",166
"ESQUELETO ESPALDA AFUERA",383
"SIN ESPALDA SIN HOMBRO",384
"TIRO ALTO BOTA RECTA",385
"TIRAS PICOS",386