description,id
INDIGO CON CAMUFLADO,749
INDIGO CON RAYAS AZUL,750
INDIGO CON RAYAS CAMEL,751
INDIGO CON RAYAS ROSADO,752
CIRCULOS BLANCO,753
LUNARES ROJO,754
LUNARES CAFE ,755
LUNARES ROJOS,756
PANA ROJO,757
VELINO BLANCO,758
ESTAMP PETROLEO,759
ESTAMP CRUDO,760
LUNARES TURQUI,761
BORDADO NEGRO,762
BORDADO BLANCO,763
INDIGO CON RAYAS ROJAS,764
INDIGO CON RAYAS ROSADAS,765
CIRCULOS AZUL,766
ESTAMP HUESO,767
TAUPE,768
TIGRE NEGRO,769
TIGRILLO CAFÃ‰,770
TIGRE GRIS,771
ESTAMP VINOTINTO,772
TIGRE ROJO,773
CIRCULOS DORADOS,774
CIRCULOS TURQUI,775
RAYAS VERDE OLIVA,776
ORO,777
PLATEADO CLARO,949
PLATEADO OSCURO,950
DORADO CLARO,951
DORADO OSCURO,952
INDIGO SUCIO BIGOTES,620
BATIK VINOT,179
NEGRO CON AZUL,480
NEGRO BRILLANTE,481
NEGRO CON TURQUEZA,482
INDIGO  ,483
TURQUEZA CON NARANJA,484
VERDE CON AZUL REY,485
AMARILLO CON NEGRO,486
AZUL REY CON AMARILLO,487
FUCSIA CON TURQUEZA,488
NARANJA CON TURQUEZA,489
TURQUEZA CON FUCSIA,490
FUCSIA CON AMARILLO,491
AMARILLO CON FUCSIA,492
AZUL REY CON VERDE,493
VERDE CON NEGRO,494
